Province,Year,registered_employment,region,n_projects,total_budget_sar,known_budget_count,total_area_sqm,known_area_count,at_risk_count,pct_projects,pct_budget,at_risk_rate,total_budget_sar_billion,new_projects_this_year,budget_started_this_year,active_projects,active_budget,completed_this_year,announced_projects,announced_budget,sector_hhi,real_estate_growth,real_estate_vs_own_2023,Population,is_population_extrapolated
Eastern Region,2020,1778368.0,Eastern Region,144,365108002962.0,80,63854302.0,108,47,17.2,18.98,32.64,365.11,0.0,0.0,45,100740462137.0,3.0,76,117440500000.0,0.17350926888737492,,,4989327.0,False
Eastern Region,2021,1772043.0,Eastern Region,144,365108002962.0,80,63854302.0,108,47,17.2,18.98,32.64,365.11,0.0,0.0,42,95115462137.0,4.0,76,117440500000.0,0.17350926888737492,,0.9484,4879962.0,False
Eastern Region,2022,2036871.0,Eastern Region,144,365108002962.0,80,63854302.0,108,47,17.2,18.98,32.64,365.11,0.0,0.0,38,70430462137.0,2.0,76,117440500000.0,0.17350926888737492,6.425,1.0073,5125254.0,False
Eastern Region,2023,2173316.0,Eastern Region,144,365108002962.0,80,63854302.0,108,47,17.2,18.98,32.64,365.11,0.0,0.0,36,10430462137.0,0.0,76,117440500000.0,0.17350926888737492,-0.625,1.0000499999999999,5184162.655083832,True
Eastern Region,2024,2457829.0,Eastern Region,144,365108002962.0,80,63854302.0,108,47,17.2,18.98,32.64,365.11,0.0,0.0,36,10430462137.0,0.0,76,117440500000.0,0.17350926888737492,-5.8,0.9422750000000001,5243748.394589975,True
Eastern Region,2025,2581586.0,Eastern Region,144,365108002962.0,80,63854302.0,108,47,17.2,18.98,32.64,365.11,0.0,0.0,36,10430462137.0,0.0,76,117440500000.0,0.17350926888737492,2.2,0.962175,5304019.00079277,True
Hail,2017,177062.0,Hail,28,3929341786.0,23,3188304.0,16,7,3.54,0.21,25.0,3.93,0.0,0.0,19,2868074725.0,3.0,8,798500000.0,0.23009495982468958,,,686058.0,False
Hail,2018,146360.0,Hail,28,3929341786.0,23,3188304.0,16,7,3.41,0.21,25.0,3.93,0.0,0.0,16,2530374725.0,0.0,8,798500000.0,0.23009495982468958,,,682111.0,False
Hail,2019,132470.0,Hail,28,3929341786.0,23,3188304.0,16,7,3.35,0.2,25.0,3.93,0.0,0.0,16,2530374725.0,0.0,8,798500000.0,0.23009495982468958,,,688236.0,False
Hail,2020,136496.0,Hail,28,3929341786.0,23,3188304.0,16,7,3.35,0.2,25.0,3.93,0.0,0.0,16,2530374725.0,0.0,8,798500000.0,0.23009495982468958,,,719987.0,False
Hail,2021,139602.0,Hail,28,3929341786.0,23,3188304.0,16,7,3.35,0.2,25.0,3.93,0.0,0.0,16,2530374725.0,0.0,8,798500000.0,0.23009495982468958,,0.9395749999999999,715422.0,False
Hail,2022,160140.0,Hail,28,3929341786.0,23,3188304.0,16,7,3.35,0.2,25.0,3.93,0.0,0.0,16,2530374725.0,0.0,8,798500000.0,0.23009495982468958,5.425,0.9902,746406.0,False
