name_project,name_truncated,sector_en,all_sectors,n_types,budget_project,area_sqm,region,city,is_multi_region,area_parse_status,has_budget,start_date,end_date,duration_days,start_year,start_date_precision,end_date_precision,status_en,is_at_risk,sectors,status_project,region_project
أجمكان – AJMAKAN,False,Residential,"['Commercial', 'Hospitality', 'Leisure/Tourism', 'Residential']",4,,1840000.0,Al-Riyadh,الرياض,False,ok,False,,,,,,,Stalled,True,سكني,متعثر,"منطقة الرياض, الرياض"
مجمع الخبر – Khobar Complex,False,Residential,"['Commercial', 'Hospitality', 'Residential']",3,,150000.0,Eastern Region,الخبر,False,ok,False,,,,,,,Proposed,False,سكني,المشاريع المقترحة,"المنطقة الشرقية, الخبر"
كومباوند مرادا – Morada Compound,False,Residential,['Residential'],1,,12941.0,Al-Riyadh,الرياض,False,ok,False,,,,,,,Under construction,False,سكني,تحت الإنشاء,"منطقة الرياض, الرياض"
كمباوند أدكس – ADEX Compound,False,Residential,['Residential'],1,,45000.0,Al-Riyadh,الرياض,False,ok,False,2012-04-01,2014-05-31,790.0,2012.0,month-level,month-level,Completed,False,سكني,مكتمل,"منطقة الرياض, الرياض"
مركز الجمجوم التجاري – Jamjoom Commercial Centre,False,Residential,"['Commercial', 'Residential']",2,1000000000.0,53545.0,Makkah Al-Mokarramah,جدة,False,ok,True,1980-09-01,1987-12-31,2677.0,1980.0,month-level,year-level,Completed,False,سكني,مكتمل,"منطقة مكة المكرمة, جدة"
أبراج المدى – Mada Towers,False,Residential,"['Hospitality', 'Residential']",2,2000000000.0,33000.0,Makkah Al-Mokarramah,جدة,False,ok,True,,,,,,,Cancelled,True,سكني,ملغي,"منطقة مكة المكرمة, جدة"
برج أيكون – IKON Tower,False,Residential,['Residential'],1,,2500.0,Eastern Region,الخبر,False,ok,False,,,,,,,Announced,False,سكني,معلن عنه,"المنطقة الشرقية, الخبر"
أبراج التوأم – Twin towers,False,Residential,"['Commercial', 'Residential']",2,,3100.0,Eastern Region,الخبر,False,ok,False,2016-12-01,,,2016.0,month-level,,Under construction,False,سكني,تحت الإنشاء,"المنطقة الشرقية, الخبر"
أبراج الفارسي – Farsi Tower,False,Residential,['Residential'],1,350000000.0,16000.0,Makkah Al-Mokarramah,جدة,False,ok,True,2003-10-04,2009-02-11,1957.0,2003.0,exact,exact,Completed,False,سكني,مكتمل,"منطقة مكة المكرمة, جدة"
منازل الصفا – Safa Compound,False,Residential,['Residential'],1,,,Makkah Al-Mokarramah,جدة,False,empty,False,2013-11-01,,,2013.0,month-level,,Under construction,False,سكني,تحت الإنشاء,"منطقة مكة المكرمة, جدة"
ابراج النورس –  Al Nawras Towers,False,Residential,"['Commercial', 'Residential']",2,,,Makkah Al-Mokarramah,جدة,False,empty,False,2020-01-01,,,2020.0,year-level,,Proposed,False,سكني,المشاريع المقترحة,"منطقة مكة المكرمة, جدة"
مركز الروضة التجاري – Al-Rawdah Commercial Center,False,Residential,"['Commercial', 'Hospitality', 'Residential']",3,,70000.0,Makkah Al-Mokarramah,جدة,False,ok,False,,,,,,,Announced,False,سكني,معلن عنه,"منطقة مكة المكرمة, جدة"
منازل الشلال – The Waterfall,False,Residential,"['Commercial', 'Government', 'Residential']",3,,4887.0,Al-Riyadh,الرياض,False,ok,False,2010-01-01,,,2010.0,year-level,,Stalled,True,سكني,متعثر,"منطقة الرياض, الرياض"
